Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1948,30,Clarence McGeary\McGeCl20,281,DT,1950,0,0,0,0,12,,,,,,,,,,,,,,North Dakota St.
1948,31,Gayland (Mike) Mills,289,E,,0,0,0,,,,,,,,,,,,,,,,BYU
1948,32,Ralph Earhart\EarhRa20,296,HB,1949,0,0,0,0,24,,,,,,50,194,1,22,303,2,,,Texas Tech
1947,1,Ernie Case\CaseEr20,6,QB,1947,0,0,0,0,14,4,11,49,0,1,1,0,0,,,,2,,UCLA
1947,3,Burr Baldwin\BaldBu20,20,E,1949,0,0,2,0,34,,,,,,1,1,0,24,397,1,2,,UCLA
1947,5,Buddy Burris\BurrBu20,31,G,1951,0,0,2,0,29,,,,,,,,,,,,1,,Oklahoma
1947,6,Gene Wilson\WilsGe20,40,E,1948,0,0,0,0,21,,,,,,1,-2,0,5,57,0,2,,SMU
1947,7,Dick Conners,52,B,,0,0,0,,,,,,,,,,,,,,,,Northwestern
1947,8,Monte Moncrief,62,T,,0,0,0,,,,,,,,,,,,,,,,Texas A&M
1947,9,Bob McDougal\McDoBo22,72,FB,1947,0,0,0,0,1,,,,,,,,,,,,,,Miami (FL)
1947,10,Bob Kelly\KellBo22,81,HB,1949,0,0,1,0,26,,,,,,63,232,2,11,93,1,8,,Navy
1947,11,Tom Moulton,92,C,,0,0,0,,,,,,,,,,,,,,,,Oklahoma St.
1947,12,George Hills,100,G,,0,0,0,,,,,,,,,,,,,,,,Georgia Tech
1947,13,Bob Skoglund\SkogBo20,111,DE,1947,0,0,0,0,9,,,,,,,,,,,,,,Notre Dame
1947,14,Jack Mitchell,122,B,,0,0,0,,,,,,,,,,,,,,,,Oklahoma
1947,15,Denny Crawford\CrawDe20,130,G,1948,0,0,1,0,8,,,,,,,,,,,,,,Tennessee
1947,16,Jim Callanan,141,E,,0,0,0,,,,,,,,,,,,,,,,USC
1947,17,Ted Scalissi\ScalTe20,151,HB,1947,0,0,0,0,10,,,,,,35,37,0,5,67,2,,,Ripon
1947,18,Jim Goodman,160,T,,0,0,0,,,,,,,,,,,,,,,,Indiana
1947,19,Dick Miller,172,G,,0,0,0,,,,,,,,,,,,,,,,Lawrence
1947,20,Brad Ecklund\EcklBr00,181,C,1953,0,2,5,0,60,,,,,,,,,,,,,,Oregon
1947,21,Bob West,190,B,,0,0,0,,,,,,,,,,,,,,,,Colorado
1947,22,Maurice (Tex) Reilly,202,B,,0,0,0,,,,,,,,,,,,,,,,Colorado
1947,23,Ron Sockolov,211,T,,0,0,0,,,,,,,,,,,,,,,,California
1947,24,Herb St. John,220,G,,0,0,0,,,,,,,,,,,,,,,,Georgia
1947,25,Fred Redeker,232,B,,0,0,0,,,,,,,,,,,,,,,,Cincinnati
1947,26,Herm Lubker,241,E,,0,0,0,,,,,,,,,,,,,,,,Arkansas
1947,27,Bob Palladino,250,B,,0,0,0,,,,,,,,,,,,,,,,Notre Dame
1947,28,Jerrell Baxter,262,T,,0,0,0,,,,,,,,,,,,,,,,North Carolina
1947,29,Ray Sellers,271,E,,0,0,0,,,,,,,,,,,,,,,,Georgia
1947,30,Jerry Carle,280,B,,0,0,0,,,,,,,,,,,,,,,,Northwestern
1947,31,Bill Hogan,290,B,,0,0,0,,,,,,,,,,,,,,,,Kansas
1947,32,Ralph Olsen\OlseRa20,297,DE,1949,0,0,0,0,4,,,,,,,,,,,,,,Utah
1946,1,Johnny Strzykalski\StrzJo00,6,HB,1952,0,1,5,0,81,1,5,38,0,0,662,3415,19,93,1218,12,8,,Marquette
1946,3,Bob Nussbaumer\NussBo20,21,HB,1951,0,0,0,0,49,1,1,10,0,0,95,238,0,76,992,5,16,,Michigan
1946,5,Ed Cody\CodyEd20,36,FB,1950,0,0,0,0,38,,,,,,93,346,2,1,2,0,2,,Purdue
1946,6,John Ferraro,46,T,,0,0,0,,,,,,,,,,,,,,,,USC
1946,7,Art Renner,56,E,,0,0,0,,,,,,,,,,,,,,,,Michigan
1946,8,Bert Cole,66,T,,0,0,0,,,,,,,,,,,,,,,,Oklahoma St.
1946,9,Grant Darnell,76,G,,0,0,0,,,,,,,,,,,,,,,,Texas A&M
1946,10,Joe McAfee,86,B,,0,0,0,,,,,,,,,,,,,,,,Holy Cross
1946,11,Steve Conroy,96,B,,0,0,0,,,,,,,,,,,,,,,,Holy Cross
1946,12,Billy Hildebrand,106,E,,0,0,0,,,,,,,,,,,,,,,,Mississippi St.
1946,13,Tom Hand,116,C,,0,0,0,,,,,,,,,,,,,,,,Iowa
1946,14,George Hills,126,G,,0,0,0,,,,,,,,,,,,,,,,Georgia Tech
1946,15,Jim Hough,136,B,,0,0,0,,,,,,,,,,,,,,,,Clemson
1946,16,Dean Gaines,146,T,,0,0,0,,,,,,,,,,,,,,,,Georgia Tech
1946,17,J.P. Miller,156,G,,0,0,0,,,,,,,,,,,,,,,,Georgia
1946,18,Boyd Morse,166,E,,0,0,0,,,,,,,,,,,,,,,,Arizona
1946,19,Joe Bradford,176,C,,0,0,0,,,,,,,,,,,,,,,,USC
1946,20,Bill DeRosa,186,B,,0,0,0,,,,,,,,,,,,,,,,Boston Col.
1946,21,Ralph Grant,196,B,,0,0,0,,,,,,,,,,,,,,,,Bucknell
1946,22,Howie Brown\BrowHo20,206,G,1950,0,0,3,0,36,,,,,,,,,,,,,,Indiana
1946,23,Andy Kosmac,216,C,,0,0,0,,,,,,,,,,,,,,,,LSU
1946,24,Maurice Stacy,226,B,,0,0,0,,,,,,,,,,,,,,,,Washington
1946,25,Chick Davidson,236,T,,0,0,0,,,,,,,,,,,,,,,,Cornell
1946,26,John Norton,246,B,,0,0,0,,,,,,,,,,,,,,,,Washington
1946,27,Ed Holtsinger,256,B,,0,0,0,,,,,,,,,,,,,,,,Georgia Tech
1946,28,Joe Campbell,266,E,,0,0,0,,,,,,,,,,,,,,,,Holy Cross
1946,29,Francis Saunders,276,T,,0,0,0,,,,,,,,,,,,,,,,Clemson
1946,30,Al Sparlis\SparAl21,286,G,1946,0,0,0,0,3,,,,,,,,,,,,,,UCLA
1946,31,Ralph Clymer,291,G,,0,0,0,,,,,,,,,,,,,,,,Purdue
1946,32,Joervin Henderson,296,C,,0,0,0,,,,,,,,,,,,,,,,Missouri
1945,1,Walt Schlinkman\SchlWa20,11,FB,1949,0,0,0,0,46,,,,,,365,1455,8,3,-1,0,,,Texas Tech
1945,3,Clyde Goodnight\GoodCl20,27,E,1950,0,0,4,0,58,,,,,,9,25,0,112,1967,15,,,Tulsa
1945,5,Joe Graham,43,E,,0,0,0,,,,,,,,,,,,,,,,Florida
1945,6,Don Wells\WellDo20,54,DE,1949,0,0,0,0,38,,,,,,,,,2,74,0,,,Georgia
1945,7,Casey Stephenson,65,B,,0,0,0,,,,,,,,,,,,,,,,Tennessee
1945,8,Toby Collins,76,T,,0,0,0,,,,,,,,,,,,,,,,Tulsa
1945,9,Lamar Dingler,87,E,,0,0,0,,,,,,,,,,,,,,,,Arkansas
1945,10,Hal Helscher,98,B,,0,0,0,,,,,,,,,,,,,,,,LSU
1945,11,Ralph Hammond,109,C,,0,0,0,,,,,,,,,,,,,,,,Pittsburgh
1945,12,Ed Podgorski,120,T,,0,0,0,,,,,,,,,,,,,,,,Lafayette
1945,13,Bill Hackett,131,G,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
1945,14,Marv Lindsey,142,B,,0,0,0,,,,,,,,,,,,,,,,Arkansas
1945,15,Robert (Buster) McClure,153,T,,0,0,0,,,,,,,,,,,,,,,,Nevada
1945,16,Harry Pieper,164,C,,0,0,0,,,,,,,,,,,,,,,,California
1945,17,Bob Kula,175,B,,0,0,0,,,,,,,,,,,,,,,,Minnesota
1945,18,Frank Hazard,186,G,,0,0,0,,,,,,,,,,,,,,,,Nebraska
1945,19,Ed Jeffers\JeffEd20,197,G,1947,0,0,0,0,14,,,,,,,,,,,,,,Oklahoma St.
1945,20,Bill Prentice,208,B,,0,0,0,,,,,,,,,,,,,,,,Santa Clara
1945,21,Warren Fuller,219,E,,0,0,0,,,,,,,,,,,,,,,,Fordham
1945,22,Fred Nielson,230,T,,0,0,0,,,,,,,,,,,,,,,,
1945,23,Bob Gilmore,241,B,,0,0,0,,,,,,,,,,,,,,,,Washington
1945,24,Lloyd Baxter\BaxtLl20,252,C,1948,0,0,0,0,11,,,,,,,,,,,,,,SMU
1945,25,Nolan Luhn\LuhnNo20,263,E,1949,0,0,4,0,56,,,,,,,,,100,1525,13,,,Tulsa
1945,26,Nestor Blanco,274,G,,0,0,0,,,,,,,,,,,,,,,,Colorado Mines
1945,27,Bill Chestnut,285,B,,0,0,0,,,,,,,,,,,,,,,,Kansas
1945,28,Jim Thompson,296,B,,0,0,0,,,,,,,,,,,,,,,,Washington St.
1945,29,Jim Evans,307,E,,0,0,0,,,,,,,,,,,,,,,,Idaho
1945,30,Ham Nichols,318,G,,0,0,0,,,,,,,,,,,,,,,,Rice
1945,31,John Priday,324,B,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
1945,32,Billy Joe Aldridge,330,B,,0,0,0,,,,,,,,,,,,,,,,Oklahoma St.
1944,1,Merv Pregulman\PregMe20,7,C,1949,0,0,3,0,47,,,,,,,,,,,,3,,Michigan
1944,3,Tom Kuzma,22,B,,0,0,0,,,,,,,,,,,,,,,,Michigan
1944,5,Bill McPartland,38,T,,0,0,0,,,,,,,,,,,,,,,,
1944,6,Mickey McCardle,49,B,,0,0,0,,,,,,,,,,,,,,,,USC
1944,7,Jack Tracy,60,E,,0,0,0,,,,,,,,,,,,,,,,Washington
1944,8,Alex Agase\AgasAl20,71,LB,1953,0,0,4,0,70,,,,,,,,,,,,8,,Illinois
1944,9,Don Whitmire,82,T,,0,0,0,,,,,,,,,,,,,,,,Alabama/Navy
1944,10,Bob Koch,93,B,,0,0,0,,,,,,,,,,,,,,,,Oregon
1944,11,Virgil Johnson,104,E,,0,0,0,,,,,,,,,,,,,,,,Arkansas
1944,12,Roy Giusti,115,B,,0,0,0,,,,,,,,,,,,,,,,
1944,13,Bill Baughman,126,C,,0,0,0,,,,,,,,,,,,,,,,Alabama
1944,14,Don Griffin\GrifDo20,137,HB,1946,0,0,0,0,13,0,1,0,0,1,28,13,0,5,28,0,1,,Illinois
1944,15,Bert Gissler,148,E,,0,0,0,,,,,,,,,,,,,,,,Nebraska
1944,16,Lou Shelton,159,B,,0,0,0,,,,,,,,,,,,,,,,Oregon St.
1944,17,Charley Cusick,170,G,,0,0,0,,,,,,,,,,,,,,,,Colgate
1944,18,Hugh Cox,181,B,,0,0,0,,,,,,,,,,,,,,,,North Carolina
1944,19,Kermit Davis,192,E,,0,0,0,,,,,,,,,,,,,,,,Mississippi St.
1944,20,Bob Johnson,203,C,,0,0,0,,,,,,,,,,,,,,,,Purdue
1944,21,Jim Cox\CoxxJi20,214,G,1948,0,0,0,0,14,,,,,,,,,,,,,,Stanford
1944,22,Cliff Anderson,225,E,,0,0,0,,,,,,,,,,,,,,,,Minnesota
1944,23,John Wesley Perry,236,B,,0,0,0,,,,,,,,,,,,,,,,Duke
1944,24,Pete DeMaria,247,G,,0,0,0,,,,,,,,,,,,,,,,Purdue
1944,25,Len Liss,258,T,,0,0,0,,,,,,,,,,,,,,,,Marquette
1944,26,Ray Jordan,269,B,,0,0,0,,,,,,,,,,,,,,,,North Carolina
1944,27,Al Grubaugh,280,T,,0,0,0,,,,,,,,,,,,,,,,Nebraska
1944,28,A.B. Howard,291,E,,0,0,0,,,,,,,,,,,,,,,,Mississippi St.
1944,29,Paul Paladino,302,G,,0,0,0,,,,,,,,,,,,,,,,Arkansas
1944,30,Bob Butchofsky,313,B,,0,0,0,,,,,,,,,,,,,,,,Texas A&M
1944,31,Russ Deal,319,G,,0,0,0,,,,,,,,,,,,,,,,Indiana
1944,32,Abel (Frito) Gonzales,325,B,,0,0,0,,,,,,,,,,,,,,,,SMU
1943,1,Dick Wildung\WildDi00,8,T,1953,0,1,7,0,83,,,,,,,,,,,,,,Minnesota
1943,3,Irv Comp\CompIr20,23,B,1949,0,0,2,0,69,213,519,3354,28,52,255,519,7,3,66,2,34,,Benedictine
1943,5,Roy McKay\McKaRo20,38,TB,1947,0,0,0,0,35,38,103,592,6,11,100,288,3,,,,4,,Texas
1943,6,Nick Susoeff\SusoNi20,48,E,1949,0,0,2,0,44,,,,,,,,,61,610,4,,,Washington St.
1943,7,Ken Snelling\SnelKe20,58,FB,1945,0,0,0,0,2,,,,,,3,10,0,,,,,,UCLA
1943,8,Les Gatewood\GateLe20,68,C,1947,0,0,0,0,23,,,,,,,,,,,,,,Tulane
1943,9,Norm Verry\VerrNo20,78,T,1947,0,0,0,0,11,,,,,,,,,,,,,,USC
1943,10,Solon (Bobo) Barnett,88,G,,0,0,0,,,,,,,,,,,,,,,,Baylor
1943,11,Bob Forte\FortBo20,98,HB,1953,0,0,4,0,80,8,14,64,1,1,107,331,0,24,242,3,23,,Arkansas
1943,12,Van Davis\DaviVa20,108,DE,1949,0,0,0,0,37,,,,,,,,,14,254,1,1,,Georgia
1943,13,Tom Brock,118,C,,0,0,0,,,,,,,,,,,,,,,,Notre Dame
1943,14,Ralph Tate,128,B,,0,0,0,,,,,,,,,,,,,,,,Oklahoma St.
1943,15,Don Carlson,138,T,,0,0,0,,,,,,,,,,,,,,,,Denver
1943,16,Mike Welch,148,B,,0,0,0,,,,,,,,,,,,,,,,Minnesota
1943,17,Ron Thomas,158,G,,0,0,0,,,,,,,,,,,,,,,,USC
1943,18,Jim Powers,168,T,,0,0,0,,,,,,,,,,,,,,,,
1943,19,Hal Prescott\PresHa20,178,E,1949,0,0,0,0,33,,,,,,,,,12,185,1,3,,Hardin-Simmons
1943,20,Eddie Forrest\ForrEd20,188,G,1947,0,0,0,0,25,,,,,,,,,,,,,,Santa Clara
1943,21,Lloyd Wasserbach\WassLl20,198,T,1947,0,0,0,0,17,,,,,,,,,,,,1,,Wisconsin
1943,22,Mark Hoskins,208,B,,0,0,0,,,,,,,,,,,,,,,,Wisconsin
1943,23,Jug Bennett\BennJu20,218,G,1946,0,0,0,0,3,,,,,,,,,,,,,,Hardin-Simmons
1943,24,George Zellick,228,E,,0,0,0,,,,,,,,,,,,,,,,Oregon St.
1943,25,Gene Bierhaus,238,E,,0,0,0,,,,,,,,,,,,,,,,Minnesota
1943,26,George Makris,248,G,,0,0,0,,,,,,,,,,,,,,,,Wisconsin
1943,27,Pete Susick,258,B,,0,0,0,,,,,,,,,,,,,,,,Washington
1943,28,Bud Hasse,268,E,,0,0,0,,,,,,,,,,,,,,,,Northwestern
1943,29,Dick Thornally,278,T,,0,0,0,,,,,,,,,,,,,,,,Wisconsin
1943,30,Bob Ray,288,B,,0,0,0,,,,,,,,,,,,,,,,Wisconsin
1943,31,Brunel Christensen,293,T,,0,0,0,,,,,,,,,,,,,,,,California
1943,32,Ken Roskie\RoskKe20,298,FB,1948,0,0,0,0,21,,,,,,15,45,1,0,7,0,1,,South Carolina
1942,1,Urban Odson\OdsoUr20,9,T,1949,0,0,0,0,39,,,,,,,,,,,,,,Minnesota
1942,3,Ray Frankowski\FranRa20,24,G,1948,0,0,1,0,42,,,,,,,,,,,,,,Washington
1942,5,Bill Green,39,B,,0,0,0,,,,,,,,,,,,,,,,Iowa
1942,6,Joe Krivonak\KrivJo20,49,G,1946,0,0,0,0,4,,,,,,,,,,,,,,South Carolina
1942,7,Pres Johnston\JohnPr20,59,HB,1946,0,0,0,0,11,1,1,9,0,0,45,218,2,6,54,1,1,,SMU
1942,8,Joe Rogers,69,E,,0,0,0,,,,,,,,,,,,,,,,Michigan
1942,9,Noah Langdale,79,T,,0,0,0,,,,,,,,,,,,,,,,Alabama
1942,10,Gene Flick,89,C,,0,0,0,,,,,,,,,,,,,,,,Minnesota
1942,11,Tom Farris\FarrTo20,99,QB,1948,0,0,0,0,33,11,32,132,1,5,17,-9,0,1,16,0,5,,Wisconsin
1942,12,Jimmy Richardson,109,B,,0,0,0,,,,,,,,,,,,,,,,Marquette
1942,13,Bruce Smith\SmitBr24,119,HB,1948,0,0,0,0,31,0,1,0,0,0,108,560,1,8,79,1,,,Minnesota
1942,14,Bill Applegate,129,G,,0,0,0,,,,,,,,,,,,,,,,South Carolina
1942,15,Jim Trimble,139,T,,0,0,0,,,,,,,,,,,,,,,,Indiana
1942,16,Tom Kinkade,149,B,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
1942,17,Fred Preston,159,E,,0,0,0,,,,,,,,,,,,,,,,Nebraska
1942,18,Bob Ingalls\IngaBo20,169,C,1942,0,0,1,0,10,,,,,,,,,,,,1,,Michigan
1942,19,George Benson\BensGe20,179,B,1947,0,0,0,0,1,,,,,,2,5,0,,,,,,Northwestern
1942,20,Horace (Deacon) Young,189,B,,0,0,0,,,,,,,,,,,,,,,,SMU
1942,21,Henry Woronicz,194,E,,0,0,0,,,,,,,,,,,,,,,,Boston Col.
1942,22,Woody Adams,199,T,,0,0,0,,,,,,,,,,,,,,,,TCU
1941,1,George Paskvan\PaskGe20,7,FB,1941,0,0,0,0,7,,,,,,38,116,0,,,,2,,Wisconsin
1941,3,Bob Paffrath\PaffBo20,21,B,1946,0,0,0,0,12,0,1,0,0,0,31,100,2,4,-6,0,,,Minnesota
1941,5,Ed Frutig\FrutEd20,37,E,1946,0,0,0,0,24,,,,,,1,11,0,12,117,3,,,Michigan
1941,6,Herm Rohrig\RohrHe20,46,WB,1947,0,0,1,0,25,3,9,100,1,1,42,1,0,13,94,0,11,,Nebraska
1941,7,Bill Telesmanic,57,E,,0,0,0,,,,,,,,,,,,,,,,San Francisco
1941,8,Bill Kuusisto\KuusBi20,66,G,1946,0,0,2,0,54,,,,,,,,,,,,,,Minnesota
1941,9,Tony Canadeo HOF\CanaTo00,77,HB,1952,1,0,8,0,116,105,268,1642,16,20,1025,4197,26,69,579,5,9,,Gonzaga
1941,10,Mike Byelene,86,B,,0,0,0,,,,,,,,,,,,,,,,Purdue
1941,11,Paul Hiemenz,97,C,,0,0,0,,,,,,,,,,,,,,,,Northwestern
1941,12,Mike Enich,106,T,,0,0,0,,,,,,,,,,,,,,,,Iowa
1941,13,Ed Heffernan,117,B,,0,0,0,,,,,,,,,,,,,,,,
1941,14,Del Lyman\LymaDe20,126,T,1944,0,0,0,0,11,,,,,,,,,,,,,,UCLA
1941,15,Johnny Frieberger,137,E,,0,0,0,,,,,,,,,,,,,,,,Arkansas
1941,16,Ernie Pannell\PannEr20,146,T,1945,0,0,0,0,22,,,,,,,,,,,,1,,Texas A&M
1941,17,Bob Saggau,157,B,,0,0,0,,,,,,,,,,,,,,,,Notre Dame
1941,18,Heige Pukema,166,G,,0,0,0,,,,,,,,,,,,,,,,Minnesota
1941,19,Bob Hayes,177,E,,0,0,0,,,,,,,,,,,,,,,,Toledo
1941,20,Jimmy Strausbaugh\StraJi20,186,HB,1946,0,0,0,0,11,1,1,35,0,0,37,183,3,5,56,0,,,Ohio St.
1941,21,Joe Bailey,192,C,,0,0,0,,,,,,,,,,,,,,,,Kentucky
1941,22,Bruno Malinowski,196,B,,0,0,0,,,,,,,,,,,,,,,,Holy Cross
1940,1,Hal Van Every\VanEHa20,9,TB,1941,0,0,0,0,20,23,71,394,4,8,63,281,2,5,44,0,6,,Minnesota
1940,3,Lou Brock\BrocLo20,24,B,1945,0,0,3,0,58,19,67,519,7,4,254,804,10,59,761,6,13,,Purdue
1940,5,Esco Sarkkinen,39,E,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
1940,6,Dick Cassiano\CassDi20,49,B,1940,0,0,0,0,10,9,30,128,1,2,35,84,0,2,67,2,,,Pittsburgh
1940,7,Millard White,59,T,,0,0,0,,,,,,,,,,,,,,,,Tulane
1940,8,George Seeman\SeemGe20,69,E,1940,0,0,0,0,1,,,,,,,,,,,,,,Nebraska
1940,9,J.R. Manley,79,G,,0,0,0,,,,,,,,,,,,,,,,Oklahoma
1940,10,Jack Brown,89,B,,0,0,0,,,,,,,,,,,,,,,,Purdue
1940,11,Don Guritz,99,G,,0,0,0,,,,,,,,,,,,,,,,Northwestern
1940,12,Phil Gaspar,109,T,,0,0,0,,,,,,,,,,,,,,,,USC
1940,13,Ambrose Schindler,119,B,,0,0,0,,,,,,,,,,,,,,,,USC
1940,14,Bill Kerr\KerrBi20,129,E,1946,0,0,0,0,11,,,,,,1,10,0,7,122,0,1,,Notre Dame
1940,15,Mel Brewer,139,G,,0,0,0,,,,,,,,,,,,,,,,Illinois
1940,16,Ray Andrus,149,B,,0,0,0,,,,,,,,,,,,,,,,Vanderbilt
1940,17,Archie Kodros,159,C,,0,0,0,,,,,,,,,,,,,,,,Michigan
1940,18,Jim Gillette\GillJi20,169,HB,1948,0,0,1,0,52,0,4,0,0,2,172,831,4,24,376,2,14,,Virginia
1940,19,Al Matuza,179,C,,0,0,0,,,,,,,,,,,,,,,,
1940,20,Jim Reeder,189,T,,0,0,0,,,,,,,,,,,,,,,,Illinois
1940,21,Vince Eichler,194,B,,0,0,0,,,,,,,,,,,,,,,,Cornell
1940,22,Henry Luebcke,199,T,,0,0,0,,,,,,,,,,,,,,,,Iowa
1939,1,Larry Buhler\BuhlLa20,9,B,1941,0,1,1,0,21,,,,,,41,121,0,,,,2,,Minnesota
1939,3,Charley Brock\BrocCh20,24,C,1947,1,3,7,0,92,,,,,,,,,,,,20,,Nebraska
1939,5,Lynn Hovland,39,G,,0,0,0,,,,,,,,,,,,,,,,Wisconsin
1939,6,Larry Craig\CraiLa20,49,QB,1949,0,3,9,0,121,,,,,,10,16,0,14,155,0,2,,South Carolina
1939,7,Frank Twedell\TwedFr20,59,G,1939,0,0,0,0,4,,,,,,,,,,,,,,Minnesota
1939,8,Paul Kell\KellPa20,69,T,1940,0,1,0,0,20,,,,,,,,,,,,,,Notre Dame
1939,9,Johnny Hall\HallJo21,79,WB,1943,0,0,2,0,37,2,9,24,0,4,118,296,3,28,537,5,4,,TCU
1939,10,Vince Gavre,89,B,,0,0,0,,,,,,,,,,,,,,,,Wisconsin
1939,11,Charley Sprague,99,E,,0,0,0,,,,,,,,,,,,,,,,SMU
1939,13,Dan Elmer,119,C,,0,0,0,,,,,,,,,,,,,,,,Minnesota
1939,14,Bill Badgett,129,T,,0,0,0,,,,,,,,,,,,,,,,Georgia
1939,15,Tom Greenfield\GreeTo21,139,C,1941,0,1,0,0,22,,,,,,,,,,,,1,,Arizona
1939,16,Roy Bellin,149,B,,0,0,0,,,,,,,,,,,,,,,,Wisconsin
1939,17,John Yerby,159,E,,0,0,0,,,,,,,,,,,,,,,,Oregon
1939,18,Frank Balazs\BalaFr20,169,FB,1945,0,1,0,0,24,0,5,0,0,3,60,228,1,5,50,0,1,,Iowa
1939,19,John Brennan\BrenJo20,179,G,1939,0,0,0,0,2,,,,,,,,,,,,,,Michigan
1939,20,Charlie Schultz\SchuCh20,189,T,1941,0,1,1,0,21,,,,,,,,,,,,,,Minnesota
1939,21,Willard Hofer,194,B,,0,0,0,,,,,,,,,,,,,,,,Notre Dame
1939,22,Bill Gunther,199,B,,0,0,0,,,,,,,,,,,,,,,,Santa Clara
1938,1,Cecil Isbell\IsbeCe20,7,TB,1942,1,4,3,0,54,411,818,5945,61,52,422,1522,10,15,174,0,9,,Purdue
1938,3,Marty Schreyer,22,T,,0,0,0,,,,,,,,,,,,,,,,Purdue
1938,5,Chuck Sweeney,37,E,,0,0,0,,,,,,,,,,,,,,,,Notre Dame
1938,6,Andy Uram\UramAn20,47,RB,1943,0,1,1,0,62,2,7,60,1,1,239,1073,4,58,1083,10,9,,Minnesota
1938,7,Johnny Kovatch\KovaJo21,57,E,1938,0,0,0,0,6,,,,,,,,,8,97,1,,,Northwestern
1938,8,Phil Ragazzo\RagaPh20,67,T,1947,0,0,3,0,63,,,,,,,,,,,,1,,Case Western Reserve
1938,9,John Howell\HoweJo20,77,HB,1938,0,0,0,0,6,,,,,,7,7,0,,,,,,Nebraska
1938,10,Frank Barnhart,87,G,,0,0,0,,,,,,,,,,,,,,,,Northern Colorado
1938,11,Pete Tinsley\TinsPe20,97,G,1945,0,1,3,0,76,,,,,,,,,,,,4,,Georgia
1938,12,Tony Falkenstein\FalkTo20,107,FB,1944,0,0,0,0,18,,,,,,62,200,1,4,60,0,,,St. Mary's (CA)
1937,1,Ed Jankowski\JankEd20,9,FB,1941,0,1,1,0,50,,,,,,275,1002,8,2,65,1,1,,Wisconsin
1937,2,Averell Daniell\DaniAv20,19,T,1937,0,0,0,0,9,,,,,,,,,,,,,,Pittsburgh
1937,3,Charles (Bud) Wilkinson,29,T,,0,0,0,,,,,,,,,,,,,,,,Minnesota
1937,4,Bud Svendsen\SvenBu20,39,C,1943,0,1,4,0,57,,,,,,,,,,,,5,,Minnesota
1937,5,Dewitt Gibson,49,T,,0,0,0,,,,,,,,,,,,,,,,Northwestern
1937,6,Merle Wendt,59,E,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
1937,7,Marv Baldwin,69,T,,0,0,0,,,,,,,,,,,,,,,,TCU
1937,8,Les Chapman,79,T,,0,0,0,,,,,,,,,,,,,,,,Tulsa
1937,9,Gordon Dahlgren,89,G,,0,0,0,,,,,,,,,,,,,,,,Michigan St.
1937,10,Dave Gavin,99,T,,0,0,0,,,,,,,,,,,,,,,,Holy Cross
1936,1,Russ Letlow\LetlRu20,7,G,1946,0,2,4,0,71,,,,,,,,,,,,,,San Francisco
1936,2,J.W. Wheeler,16,T,,0,0,0,,,,,,,,,,,,,,,,Oklahoma
1936,3,Bernie Scherer\ScheBe20,25,E,1939,0,0,0,0,35,,,,,,,,,13,242,3,,,Nebraska
1936,4,Theron Ward,34,B,,0,0,0,,,,,,,,,,,,,,,,Idaho
1936,5,Darrell Lester\LestDa20,43,C,1938,0,0,0,0,16,,,,,,,,,,,,,,TCU
1936,6,Bob Reynolds\ReynBo20,52,T,1938,0,0,2,0,20,,,,,,,,,,,,,,Stanford
1936,7,Wally Fromhart,61,B,,0,0,0,,,,,,,,,,,,,,,,Notre Dame
1936,8,Wally Cruice,70,B,,0,0,0,,,,,,,,,,,,,,,,Northwestern
1936,9,J.C. Wetsel,79,G,,0,0,0,,,,,,,,,,,,,,,,SMU
